dataset,column_name,completeness
a_e,anon_id,1
a_e,patient_gender_code,1
a_e,patient_gender_description,1
a_e,patient_date_of_birth,1
a_e,arrival_date_time,1
a_e,discharge_date_time,1
a_e,arrival_mode_code,0.996
a_e,arrival_mode_description,0.996
a_e,attendance_category_code,1
a_e,attendance_category_desc,1
a_e,discharge_destination_code,1
a_e,discharge_destination_desc,1
a_e,diagnosis_code_1,0.268
a_e,diagnosis_code_2,0.066
a_e,diagnosis_code_3,0.065
a_e,disease_icd10_code_1,0.397
a_e,disease_icd10_code_2,0.002
a_e,disease_icd10_code_3,0
a_e,ecds_diagnosis_desc_1,0.482
a_e,ecds_diagnosis_desc_2,0.057
a_e,ecds_diagnosis_desc_3,0.054
a_e,treatment_location_code,1
a_e,patient_postcode,0.998
a_e,referral_source_code,1
a_e,referral_source_desc,1
a_e,patient_flow_code,1
a_e,patient_flow_desc,1
a_e,care_home,1
a_e,patient_deceased,1
a_e,chronic_condition_flags,1
a_e,arthritis,1
a_e,asthma,1
a_e,atrial_fibrillation,1
a_e,cancer,1
a_e,cerebrovascular_disease,1
a_e,chronic_liver_disease,1
a_e,copd,1
a_e,dementia,1
a_e,diabetes,1
a_e,epilepsy,1
a_e,heart_disease,1
a_e,heart_failure,1
a_e,multiple_sclerosis,1
a_e,parkinsons_disease,1
a_e,renal_failure,1
a_e,congenital_problems,1
a_e,diseases_of_blood_and_bfo,1
a_e,oth_dis_endocrine_metabolic,1
a_e,oth_disease_digestive_system,1
a_e,cup_marker,1
a_e,episode_within_cup,1
a_e,last_update,1
cog_uk_metadata,anon_id,1
cog_uk_metadata,country,1
cog_uk_metadata,adm1,1
cog_uk_metadata,pillar_2,1
cog_uk_metadata,sample_date,1
cog_uk_metadata,epi_week,1
cog_uk_metadata,lineage,1
cog_uk_metadata,lineage_support,0
cog_uk_metadata,lineages_version,1
cog_uk_metadata,variants,1
cog_uk_metadata,d614g,1
cog_uk_metadata,n439k,1
cog_uk_metadata,p323l,1
cog_uk_metadata,a222v,1
cog_uk_metadata,y453f,1
cog_uk_metadata,e484k,1
cog_uk_metadata,n501y,1
cog_uk_metadata,t1001i,1
cog_uk_metadata,p681h,1
cog_uk_metadata,q27stop,1
cog_uk_metadata,del_1605_3,1
cog_uk_metadata,del_21765_6,1
cog_uk_metadata,last_update,1
covid_testing_lect,anon_id,1
covid_testing_lect,ecoss_reporting_health_board,0.385
covid_testing_lect,ecoss_reporting_health_board_code,0.385
covid_testing_lect,subject_date_of_birth,1
covid_testing_lect,subject_sex,1
covid_testing_lect,date_ecoss_specimen,1
covid_testing_lect,test_result,1
covid_testing_lect,ecoss_specimen_source_type,0.111
covid_testing_lect,date_specimen_received_at_ecoss,0.385
covid_testing_lect,subject_derived_age_years,1
covid_testing_lect,ecoss_submitting_laboratory,1
covid_testing_lect,laboratory_code,0.972
covid_testing_lect,organisation_role,0.496
covid_testing_lect,care_home_location_id,0.172
covid_testing_lect,test_type,1
covid_testing_lect,flag_first_positive_case,1
covid_testing_lect,flag_home_testing,1
covid_testing_lect,flag_lighthouse_labs_testing,1
covid_testing_lect,home_test_sample_collection_location,0.091
covid_testing_lect,test_administration_method,0.564
covid_testing_lect,test_centre_group,0.65
covid_testing_lect,test_centre_id,0.653
covid_testing_lect,test_referral_source,0.316
covid_testing_lect,test_location,0.772
covid_testing_lect,test_result_info,0.054
covid_testing_lect,test_result_record_source,1
covid_testing_lect,test_reason,0.601
covid_testing_lect,last_update,1
deaths,anon_id,1
deaths,sex,1
deaths,age,1
deaths,date_of_birth,1
deaths,ethnicity_code,0.963
deaths,marital_status,1
deaths,date_of_death,1
deaths,institution,1
deaths,post_mortem_indicator,1
deaths,underlying_cause_of_death,1
deaths,cause_of_death_code_0,1
deaths,cause_of_death_code_1,0.846
deaths,cause_of_death_code_2,0.615
deaths,cause_of_death_code_3,0.382
deaths,cause_of_death_code_4,0.195
deaths,cause_of_death_code_5,0.088
deaths,cause_of_death_code_6,0.037
deaths,cause_of_death_code_7,0.015
deaths,cause_of_death_code_8,0.006
deaths,cause_of_death_code_9,0.002
deaths,hbres_2014,1
deaths,hbloc_2014,1
deaths,simd2020_sc_decile,0.998
deaths,simd2016_sc_decile,0.997
deaths,simd2012_sc_decile,0.993
deaths,simd2009_sc_decile,0.987
deaths,simd2006_sc_decile,0.981
deaths,simd2004_sc_decile,0.971
deaths,ur8_2003_2004,0.963
deaths,ur8_2005_2006,0.968
deaths,ur8_2007_2008,0.976
deaths,ur8_2009_2010,0.981
deaths,ur8_2011_2012,0.986
deaths,ur8_2013_2014,0.989
deaths,ur8_2016,0.995
deaths,last_update,1
diabetes,anon_id,1
diabetes,diabetes_type,1
diabetes,ethnic,1
diabetes,diabetes_duration,0.998
diabetes,num_diabetes_drugs,1
diabetes,drugs_observable_on_ref_date,1
diabetes,on_insulin,1
diabetes,on_sglt2i,1
diabetes,on_dpp4i,1
diabetes,on_sulphonylurea,1
diabetes,on_metformin,1
diabetes,on_glp1_agonist,1
diabetes,on_tzd,1
diabetes,ref_date,1
diabetes,latest_egfr,0.916
diabetes,latest_egfr_date,0.916
diabetes,latest_hba1c,0.924
diabetes,latest_hba1c_date,0.924
diabetes,latest_ckd_stage,0.916
diabetes,latest_ckd_stage_date,0.916
diabetes,latest_bp_sys,0.91
diabetes,latest_bp_sys_date,0.91
diabetes,latest_bp_dias,0.91
diabetes,latest_bp_dias_date,0.91
diabetes,latest_bmi,0.867
diabetes,latest_bmi_date,0.867
diabetes,last_update,1
dispensed,anon_id,1
dispensed,date_of_birth,1
dispensed,sex,1
dispensed,care_home_indicator,1
dispensed,hbres_2006,0.987
dispensed,prescribed_date,1
dispensed,dispensed_date,1
dispensed,paid_date,1
dispensed,bnf_code,0.997
dispensed,bnf_chapter_code,0.997
dispensed,bnf_section_code,0.997
dispensed,bnf_sub_section_code,0.997
dispensed,bnf_paragraph_code,0.997
dispensed,bnf_item_description,0.997
dispensed,bnf_root_drug_description,0.997
dispensed,approved_name,1
dispensed,daily_dose_conversion,0.473
dispensed,formulation_code,0.94
dispensed,item_strength,0.824
dispensed,item_strength_uom,0.824
dispensed,packsize,0
